Id,Accidents,Body_type,Year,Fuel_economy_combined,Days_on_market,Rating,Distance,Color,Drivetrain,Engine,Make,Mileage,Model,Transmission,Additional_features,Previous_owners,Price_drops,Photos,Seats,Seller_type,Trim,Price
271936521,0,Sedan,2017,29 MPG,37,GREAT_PRICE,97.736984,BLACK,FRONT_WHEEL_DRIVE,I4,Chevrolet,49516,Sonic,Automatic,5,2,,True,5,DEALER,LT Sedan FWD,7495.0
273738682,0,Sedan,2009,27 MPG,10,GREAT_PRICE,171.23712,SILVER,FRONT_WHEEL_DRIVE,I4,Chevrolet,132196,Malibu,Automatic,5,2,,True,5,DEALER,LTZ FWD,3997.0
272560966,2,Sedan,2015,26 MPG,28,GREAT_PRICE,116.38247,BROWN,FRONT_WHEEL_DRIVE,I4,Chevrolet,20833,Impala,Automatic,6,1,,True,5,DEALER,LTZ 1LZ FWD,15995.0
268734916,2,Sedan,2012,,97,GREAT_PRICE,13.022558,BLACK,REAR_WHEEL_DRIVE,V6,Chevrolet,71347,Caprice,6-Speed Automatic,1,1,,True,5,DEALER,Police Sedan RWD,5995.0
269505576,0,Sedan,2017,31 MPG,86,GREAT_PRICE,126.89147,SILVER,FRONT_WHEEL_DRIVE,I4,Chevrolet,31152,Malibu,6-Speed Automatic,4,1,,True,5,DEALER,LT FWD,12925.0
271640406,0,Sedan,2016,35 MPG,43,GREAT_PRICE,133.67046,WHITE,FRONT_WHEEL_DRIVE,I4,Chevrolet,29872,Cruze,Automatic,8,2,,True,5,DEALER,LT Sedan FWD,10797.0
271360878,0,Sedan,2014,,49,GREAT_PRICE,52.489605,RED,FRONT_WHEEL_DRIVE,V6,Chevrolet,98253,Impala,6-Speed Automatic,10,1,True,True,5,DEALER,LTZ 2LZ FWD,10857.0
274660124,0,Sedan,2013,,0,GREAT_PRICE,107.62444,SILVER,FRONT_WHEEL_DRIVE,I4,Chevrolet,65401,Malibu,6-Speed Automatic,2,2,,True,5,DEALER,1LT FWD,7800.0
271352555,0,Sedan,2019,32 MPG,49,GREAT_PRICE,185.9232,SILVER,FRONT_WHEEL_DRIVE,I4,Chevrolet,31263,Malibu,Continuously Variable Transmission,6,,,True,5,DEALER,LT FWD,14995.0
273696360,0,Sedan,2010,22 MPG,10,GREAT_PRICE,142.63087,WHITE,FRONT_WHEEL_DRIVE,V6,Chevrolet,84868,Impala,4-Speed Automatic,5,3,,True,6,DEALER,LTZ FWD,4995.0
272403776,0,Sedan,2016,32 MPG,30,GREAT_PRICE,42.74847,BLACK,FRONT_WHEEL_DRIVE,I4,Chevrolet,58564,Malibu,6-Speed Automatic,4,1,,,5,DEALER,1LT FWD,9998.0
272403780,0,Sedan,2017,35 MPG,30,GREAT_PRICE,42.74847,BLACK,FRONT_WHEEL_DRIVE,I4,Chevrolet,43248,Cruze,6-Speed Automatic,4,1,,True,5,DEALER,LS Sedan FWD,8998.0
265274395,0,Sedan,2014,26 MPG,134,GREAT_PRICE,102.06816,BLUE,FRONT_WHEEL_DRIVE,I4,Chevrolet,71447,Impala,Automatic,3,3,,True,5,DEALER,LS FWD,10000.0
268424972,0,Sedan,2017,38 MPG,100,GREAT_PRICE,52.1481,BLUE,FRONT_WHEEL_DRIVE,I4,Chevrolet,20283,Cruze,9-Speed Automatic,10,1,True,True,5,DEALER,LT Diesel Sedan FWD,14490.0
265108553,0,Sedan,2016,,136,GREAT_PRICE,96.619156,WHITE,FRONT_WHEEL_DRIVE,I4,Chevrolet,70087,Cruze Limited,6-Speed Automatic,5,2,,,5,DEALER,2LT FWD,7999.0
268129151,0,Sedan,2016,35 MPG,103,GREAT_PRICE,122.73602,WHITE,FRONT_WHEEL_DRIVE,I4,Chevrolet,57161,Cruze,Automatic,9,1,,True,5,DEALER,Premier Sedan FWD,11299.0
274623904,1,Sedan,2010,,0,GREAT_PRICE,170.61105,UNKNOWN,FRONT_WHEEL_DRIVE,I4,Chevrolet,127550,Malibu,4-Speed Automatic Overdrive,2,3,,True,5,DEALER,LS FWD,2995.0
232795897,0,Sedan,2017,35 MPG,485,GREAT_PRICE,4.0405464,UNKNOWN,FRONT_WHEEL_DRIVE,I4,Chevrolet,27500,Cruze,Automatic,4,3,,True,5,DEALER,LT Sedan FWD,10999.0
271159207,0,Sedan,2017,35 MPG,52,GREAT_PRICE,42.74847,UNKNOWN,FRONT_WHEEL_DRIVE,I4,Chevrolet,45516,Cruze,6-Speed Automatic,4,1,,True,5,DEALER,LT Sedan FWD,9998.0
